#T_cell n_eff P_max V_max I_max
#1
42 4.60248 0.372801 0.29997 -1.2428
53 4.47189 0.362223 0.279945 -1.29391
62 4.26264 0.345274 0.279945 -1.23336
72 4.01835 0.325486 0.259926 -1.25222
78 3.90498 0.316303 0.259926 -1.2169
#2
55 5.21067 0.422064 0.299972 -1.40701
62 4.98698 0.403945 0.27995 -1.44292
68 4.85084 0.392918 0.279946 -1.40355
73 4.65275 0.376873 0.279942 -1.34625
78 4.5269 0.366679 0.259927 -1.4107
#3
38 2.68785 0.217716 0.279949 -0.777697
54 2.48054 0.200924 0.259929 -0.772996
62 2.35232 0.190538 0.259926 -0.733047
70 2.13505 0.172939 0.239944 -0.720749
76 1.202 0.0973623 0.239944 -0.405771
78 1.52509 0.123532 0.239945 -0.514836
#4
42 5.00536 0.405434 0.299965 -1.35161
58 4.64466 0.376217 0.27994 -1.34392
66 4.31012 0.34912 0.27994 -1.24713
73 3.81875 0.309319 0.259918 -1.19006
80 3.56113 0.288452 0.259919 -1.10978
#5
39 4.53446 0.367291 0.279948 -1.312
52 4.28278 0.346905 0.279949 -1.23917
61 4.09305 0.331537 0.259929 -1.27549
69 3.92583 0.317992 0.259929 -1.22338
74 3.83606 0.310721 0.259928 -1.19541
#6
38 5.3595 0.43412 0.32 -1.35662
50 4.95552 0.401397 0.299972 -1.33812
60 4.69078 0.379953 0.279947 -1.35723
68 4.50216 0.364675 0.279947 -1.30266
79 4.20047 0.340238 0.259923 -1.309
#7
42 3.93239 0.318524 0.279948 -1.13779
45 3.49548 0.283134 0.279947 -1.01138
58 3.2768 0.265421 0.259927 -1.02114
66 3.18278 0.257805 0.259925 -0.991844
72 3.08809 0.250135 0.259925 -0.962337
79 2.99876 0.2429 0.239945 -1.01232
#8
37 4.26464 0.345436 0.279944 -1.23395
49 4.08592 0.33096 0.279947 -1.18222
60 3.80531 0.30823 0.259926 -1.18584
68 3.66639 0.296978 0.259926 -1.14255
80 3.40722 0.275985 0.259928 -1.06177
#9
40 4.44156 0.359766 0.29998 -1.1993
52 4.01224 0.324991 0.279952 -1.16088
59 3.82709 0.309995 0.259934 -1.19259
65 3.68613 0.298576 0.259933 -1.14867
71 3.37449 0.273334 0.259931 -1.05156
77 3.11125 0.252011 0.239951 -1.05026
#10
25 0.183678 0.0148779 0.430031 -0.0345974
40 0.187338 0.0151744 0.430027 -0.035287
45 0.183114 0.0148322 0.420033 -0.0353119
49 0.175898 0.0142478 0.410043 -0.034747
60 0.170737 0.0138297 0.390038 -0.0354574
#11
43 0.193562 0.0156785 0.420035 -0.0373267
52 0.183356 0.0148518 0.400052 -0.0371247
59 0.177186 0.0143521 0.390044 -0.036796
65 0.168476 0.0136465 0.380032 -0.0359089
#12
41 0.214458 0.0173711 0.430026 -0.0403954
48 0.204201 0.0165403 0.410045 -0.0403377
56 0.196826 0.0159429 0.400045 -0.0398528
79 0.186091 0.0150734 0.380026 -0.0396641
#13
42 0.199418 0.0161529 0.430031 -0.0375621
48 0.191792 0.0155351 0.410046 -0.0378863
56 0.183681 0.0148782 0.390041 -0.0381452
64 0.17701 0.0143378 0.390042 -0.0367596
#14
43 0.20351 0.0164843 0.420034 -0.0392453
50 0.192753 0.015613 0.410045 -0.0380764
53 0.188567 0.0152739 0.390042 -0.0391597
60 0.17775 0.0143978 0.38003 -0.0378859
#15
41 0.19301 0.0156338 0.42004 -0.0372198
51 0.18109 0.0146683 0.400051 -0.036666
62 0.173194 0.0140287 0.380032 -0.0369145
70 0.16334 0.0132305 0.360009 -0.0367505
